 Lista de Imóveis da Caixa;;Data de geração:;07/08/2026;;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso
8,78771E+12;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 103, BL 25 ;113.400,00;189.000,00;40.00;Não;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707125174
8,55554E+12;SP ;AMERICANA ;VILA AMORIM ;AVENIDA PADRE OSWALDO VIEIRA DE ANDRADE, N. 1185, Apto 403, BL 34 ;116.651,81;193.000,00;39.56;Não;Apartamento, 96.66 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555538463778
1,44441E+12;SP ;AMERICANA ;LOTEAMENTO INDUSTRIAL MACHADINHO ;RUA ANGELO ORTOLAN, N. 150, Apto 401, PV 03 BL 29 VG 341 ;133.437,74;212.000,00;37.06;Não;Apartamento, 77.74 de área total, 45.95 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444413103369
8,78772E+12;SP ;AMERICANA ;BALSA ;RUA JOSE ANTONIO RODRIGUES ANTIGA RUA FUTURA, N. 420, Apto 18, BL D ;166.955,84;215.320,76;22.47;Não;Apartamento, 73.43 de área total, 49.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716019110
8,44443E+12;SP ;AMERICANA ;JARDIM BELA VISTA ;RUA DO FLAMENGO, N. 311, Apto 121, BL E BOX 191 ;213.860,19;248.688,93;14.01;Não;Apartamento, 86.84 de área total, 58.19 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444433330440
1,44441E+12;SP ;AMERICANA ;PARQUE GRAMADO ;RUA JOÃO MARTINS MILENA, N. 221, LOTE 2-B DA QUADRA 31 ;265.000,00;265.000,00;0.00;Não;Casa, 143.80 de área total, 143.80 de área privativa, 150.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407992556
8,4444E+12;SP ;AMERICANA ;PARQUE DOM PEDRO II ;RUA BENEDITO TOLEDO FERRAZ, N. 34, LOTE 01A  QUADRA 23/24 ;250.800,00;250.800,00;0.00;Não;Casa, 102.60 de área total, 102.60 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404396330
10300074;SP ;AMERICANA ;JARDIM IMPERADOR ;RUA IMPERADOR NERVA, N. 00, QD 13, LT 08 ;634.000,00;634.000,00;0.00;Sim;Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10300074
8,55554E+12;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA N 155 APARTAMENTO 304 BLOCO 28 PAVIME, N. 155, Apto 304, BL 28 PAV 2 ;206.000,00;206.000,00;0.00;Não;Apartamento, 90.53 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555538972079
8,78771E+12;SP ;AMERICANA ;JARDIM DA BALSA II ;RUA RIO ACU, N. 45, Apto 23, BL A ;200.000,00;200.000,00;0.00;Não;Apartamento, 54.95 de área total, 49.03 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706959870
8,55554E+12;SP ;AMERICANA ;JARDIM TERRAMERICA III ;AVENIDA PADRE OSWALDO VIEIRA DE ANDRADE, N. 1185, Apto 202, BL 28, LOT VILA AMORIM ;218.000,00;218.000,00;0.00;Não;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536446728
8,55554E+12;SP ;AMERICANA ;CARIOBA ;RUA SAO SIMAO, N. 265, Apto 07A, PAV TERREO  BL A ;213.734,42;200.000,00;0.00;Não;Apartamento, 65.87 de área total, 45.33 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555540147896
8,78771E+12;SP ;AMERICANA ;FAZENDA SAO DOMINGOS ;AVENIDA SAO JERONIMO, N. 2750, Apto 105, PV TERREO  BL 28  GLEBA A3B  VG 482 ;188.658,57;173.000,00;0.00;Não;Apartamento, 99.17 de área total, 46.73 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705746422
8,78772E+12;SP ;AMERICANA ;BALSA ;RUA JOSE ANTONIO RODRIGUES, N. 420, Apto 42, PV 04 BL E ;247.850,80;210.000,00;0.00;Não;Apartamento, 82.55 de área total, 47.63 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716988449
8,78771E+12;SP ;ANDRADINA ;JARDIM SAO LOURENCO ; RUA 09, N. 20, R FINLANDIA ;142.000,00;142.000,00;0.00;Não;Casa, 50.82 de área total, 50.82 de área privativa, 160.35 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712612720
8,44443E+12;SP ;ANGATUBA ;JARDIM ELISA ;RUA DA MAGNOLIA, N. 301, LT 26 ;94.518,84;159.500,00;40.75;Não;Casa, 50.05 de área total, 50.05 de área privativa, 194.43 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427218536
1,55553E+12;SP ;APIAI ;CENTRO ;RUA 21 DE ABRIL, N. 61, ;551.276,87;865.000,00;36.27;Sim;Casa, 453.37 de área total, 453.37 de área privativa, 465.84 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555529810950
8,44442E+12;SP ;ARACATUBA ;AVIACAO ;RUA AVIACAO, N. 1196, Apto 42, BL 4B ;32.840,94;81.000,00;59.46;Não;Apartamento, 0.00 de área total, 42.72 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421906252
8,78772E+12;SP ;ARACATUBA ;CONJUNTO HABITACIONAL CLAUDIONOR CINTI ;RUA ERNESTO NAZARET, N. 140, Apto 103, BL. 09 ;90.903,79;188.000,00;51.65;Não;Apartamento, 39.30 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717704789
8,78771E+12;SP ;ARACATUBA ;ROSELE ;RUA NOEL ROSA, N. 719, Apto 401, BL03 - 4º PAV - VG18 ;74.291,77;135.000,00;44.97;Não;Apartamento, 84.65 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714243799
8,7877E+12;SP ;ARACATUBA ;CONJUNTO HABITACIONAL DOUTOR ANTONIO VIL ;RUA ANTONIO DOS SANTOS RIBEIRO, N. 300, Apto 401, BL 16 VG 267 ;71.654,14;125.000,00;42.68;Não;Apartamento, 87.75 de área total, 43.99 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701706191
8,78772E+12;SP ;ARACATUBA ;RESIDENCIAL PAQUERE ;RUA NILO MARIA BOATTO (ANTIGA RUA TRES), N. 82, LT 35 QD B ;71.654,14;125.000,00;42.68;Não;Casa, 49.18 de área total, 49.18 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716855163
8,44443E+12;SP ;ARACATUBA ;SANTANA ;RUA AVIACAO, N. 777, Apto 402, BL 06  VG 165 ;75.305,50;130.000,00;42.08;Não;Apartamento, 99.58 de área total, 43.70 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429015543
