 Lista de Imóveis da Caixa;;Data de geração:;07/08/2026;;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso
1,4444E+12;SP ;ITATIBA ;JARDIM SALESSI ;RUA SABINO FRANCO DE CAMARGO, N. 28, CS 22 ;347.336,29;545.000,00;36.27;Sim;Casa, 247.17 de área total, 247.17 de área privativa, 250.00 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 1 sala(s), 1 lavabo(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444401937758
8,55554E+12;SP ;ITU ;PARQUE NOSSA SENHORA DA CANDELARIA ;RUA SUELI APARECIDA COSTA, N. 400, Apto 201, PV 01 BL 19 VG 284 E 285 ;119.069,46;197.000,00;39.56;Não;Apartamento, 99.70 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555539826106
8,55554E+12;SP ;ITU ;PARQUE NOSSA SENHORA DA CANDELARIA ;RUA SUELY APARECIDA COSTA, N. 400, Apto 403, BL 13 BOX 288 E 289 ;116.554,69;190.000,00;38.66;Não;Apartamento, 64.30 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555537195532
8,4444E+12;SP ;ITU ;ITAIM ;RUA ALZIRA PROENCA JANUARIO, N. 712, LT 18 QD A ;221.112,90;346.944,82;36.27;Sim;Casa, 126.55 de área total, 126.55 de área privativa, 178.35 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403880549
8,44441E+12;SP ;ITU ;CRUZ DAS ALMAS ;RUA LUCAS JALKOS, N. 36, ;151.043,49;237.000,00;36.27;Não;Casa, 69.70 de área total, 69.70 de área privativa, 142.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407658638
10289411;SP ;ITU ;KURUMIN ;RUA BRETAO, N. s/n, LT 14, QD E ;234.531,66;368.000,00;36.27;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 1023.49 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10289411
10291015;SP ;ITU ;KURUMIN ;RUA BRETAO, N. 00, Qd E, Lt 13 ;235.806,29;370.000,00;36.27;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 1029.42 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10291015
8,78771E+12;SP ;ITU ;NOSSA SENHORA APARECIDA ;RUA GABRIEL LEITE DE CARVALHO, N. 425, Apto 306, TORRE 07 PAVIMENTO 03 ;300.000,00;300.000,00;0.00;Não;Apartamento, 95.63 de área total, 47.80 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713342602
10303900;SP ;ITU ;PIRAPITINGUI ;SÍTIO PIRAPITINGUI, N. s/n, 00 ;1.558.000,00;1.558.000,00;0.00;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 5232.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10303900
8,55551E+12;SP ;ITU ;NUCLEO HABITACIONAL SAO JUDAS TADEU ;RUA BENEDICTO ANTONIO BOFF, N. 72, LOTE 06 QUADRA 03 TIPO 9 ;315.000,00;315.000,00;0.00;Não;Casa, 158.43 de área total, 158.43 de área privativa, 190.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555510179404
8,55554E+12;SP ;ITU ;PROGRESSO ;RUA INEZ NOVELLI DE ALMEIDA, N. 100, Apto 71, TORRE 02 ;209.033,20;209.033,20;0.00;Não;Apartamento, 107.50 de área total, 51.09 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555539414932
8,78771E+12;SP ;ITU ;VILA FRAGNANI ;RUA GABRIEL LEITE DE CARVALHO, N. 425, Apto 604, 6 PAVIMENTO  TORRE 08  VG 442 ;237.509,11;237.509,11;0.00;Não;Apartamento, 94.78 de área total, 47.80 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711601252
8,78772E+12;SP ;ITU ;VILA FRAGNANI ;RUA GABRIEL LEITE DE CARVALHO, N. 425, Apto 304, TORRE 04  PAVIMENTO 03 ;300.000,00;300.000,00;0.00;Não;Apartamento, 95.63 de área total, 47.80 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717826680
8,44442E+12;SP ;ITU ;ITAIM GUASSU ;RUA HUMBERTO BONI  ANTIGA RUA SEIS, N. 51, QD E LT 02 ;216.158,91;191.946,00;0.00;Não;Casa, 42.29 de área total, 42.29 de área privativa, 201.83 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421479532
10308715;SP ;ITU ;VAREJAO ;RUA APPALOOSA ANTIGA  RUA DOIS, N. SN, QD B  LT 06 ;690.000,00;588.000,00;0.00;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 1086.47 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10308715
1,44442E+12;SP ;ITUPEVA ;SAO VENANCIO ;TRAVESSA C, N. 109, LOTE 14, QUADRA 12 ;646.624,65;1.765.000,00;63.37;Não;Casa, 0.00 de área total, 234.16 de área privativa, 300.00 de área do terreno,  4 qto(s), a.serv, WC, 3 sala(s), cozinha, Terraco.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416315197
1,44442E+12;SP ;ITUPEVA ;RESIDENCIAL GREEN PARK ;RUA GRANADA, N. 682, LT 23 QD B ;1.108.926,88;1.740.000,00;36.27;Sim;Casa, 327.14 de área total, 193.57 de área privativa, 800.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420832028
1,6E+12;SP ;ITUPEVA ;PARQUE DOS CAFEZAIS I ;RUA NELSON DAGLI, N. 21, ;1.313.394,78;1.313.394,78;0.00;Não;Casa, 488.24 de área total, 488.24 de área privativa, 1468.29 de área do terreno,  6 qto(s), a.serv, WC, 2 sala(s), cozinha, Terraco, 4 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1600000047515
1,44442E+12;SP ;ITUPEVA ;RESIDENCIAL POSSE NOVA ;RUA CATARINENSE, N. SN, QUADRA F LOTE 01 ;2.968.716,86;1.673.000,00;0.00;Não;Casa, 296.73 de área total, 296.73 de área privativa, 1012.64 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 3 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419787456
8,78771E+12;SP ;JABOTICABAL ;SOROCABANO ;AV CARLOS BERCHIERI, N. 2338, Apto 13, TORRE 4, BL C ;81.486,66;160.000,00;49.08;Sim;Apartamento, 91.42 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709443840
8,44442E+12;SP ;JABOTICABAL ;PLANALTO VERDE I ;RUA NIUBE ESTERLINO RAYMUNDO, N. 130, LT 12 QD 13 ;98.800,33;175.500,00;43.71;Sim;Casa, 53.28 de área total, 53.28 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422489051
8,78771E+12;SP ;JABOTICABAL ;SOROCABANO ;AVENIDA CARLOS BERCHIERI, N. 2338, Apto 31, TORRE 07 BL A ;75.964,42;134.500,00;43.53;Não;Apartamento, 91.42 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707432581
8,78772E+12;SP ;JABOTICABAL ;JARDIM AROEIRA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 31, BL D TR 6 ;69.934,44;122.000,00;42.68;Não;Apartamento, 88.73 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787719897851
8,78771E+12;SP ;JABOTICABAL ;Jaboticabal ;RUA PREFEITO ANGELO BERCHIERI, N. 501, Apto 32, TORRE 02 BL. A ;81.964,82;140.000,00;41.46;Não;Apartamento, 88.87 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708933894
8,78771E+12;SP ;JABOTICABAL ;SOROCABANO ;AVENIDA CARLOS BERCHIERI, N. 2338, Apto 11, BL B TORRE 02 ;81.964,82;140.000,00;41.46;Não;Apartamento, 91.42 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705007786
8,78771E+12;SP ;JABOTICABAL ;SOROCABANO ;AVENIDA CARLOS BERCHIERI, N. 2338, Apto 32, TR 01 ;81.379,36;139.000,00;41.46;Não;Apartamento, 91.42 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705458338
8,78771E+12;SP ;JABOTICABAL ;SOROCABANO ;AVENIDA CARLOS BERCHIERI, N. 2338, Apto 21, TR 7 BL C ;85.477,60;146.000,00;41.46;Não;Apartamento, 0.00 de área total, 43.06 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710145849
8,44443E+12;SP ;JABOTICABAL ;ARARAS II ;RUA JOSE BASSI, N. 71, LT 08, DESMEMB. SANTO LESSI - ÁREA 3 ;82.830,58;141.478,76;41.46;Não;Prédio, 0.00 de área total, 51.12 de área privativa, 250.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425759475
8,78771E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PREFEITO ANGELO BERCHIERI, N. 501, Apto 03, BL D TORRE 02 ;87.819,45;150.000,00;41.46;Não;Apartamento, 88.87 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708438273
8,78771E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PREFEITO ANGELO BERCHIERI, N. 501, Apto 34, BL B, TORRE 1 ;90.161,30;154.000,00;41.46;Não;Apartamento, 88.87 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708605170
8,78771E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PREFEITO ANGELO BERCHIERI, N. 501, Apto 03, BL C TORRE 04 ;87.819,45;150.000,00;41.46;Não;Apartamento, 88.87 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710542066
8,78771E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PREFEITO ANGELO BERCHIERI, N. 501, Apto 04, TORRE 04 BL A ;87.819,45;150.000,00;41.46;Não;Apartamento, 88.87 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710920060
8,78771E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PREFEITO ANGELO BERCHIERI, N. 501, Apto 33, TORRE 03 BL B ;87.819,45;150.000,00;41.46;Não;Apartamento, 88.87 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711685251
8,78771E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 04, BL C TORRE 03 ;87.819,45;150.000,00;41.46;Não;Apartamento, 88.73 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713983810
8,78772E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 12, TR 02 BL A ;83.721,21;143.000,00;41.46;Não;Apartamento, 88.74 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716690768
8,78772E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 32, BL A TORRE 03 ;90.746,77;155.000,00;41.46;Não;Apartamento, 88.74 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717671317
8,78771E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PREFEITO ANGELO BERCHIERI, N. 501, Apto 22, TORRE 3 ;97.778,11;165.000,00;40.75;Não;Apartamento, 88.87 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709850178
8,78771E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PREFEITO ANGELO BERCHIERI, N. 501, Apto 13, TORRE 3 BL D ;97.778,11;165.000,00;40.75;Não;Apartamento, 88.87 de área total, 43.06 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710468362
8,78771E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PREFEITO ANGELO BERCHIERI, N. 501, Apto 21, TORRE 03, BL A ;98.963,30;167.000,00;40.75;Não;Apartamento, 88.87 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712082550
8,78771E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PREFEITO ANGELO BERCHIERI, N. 501, Apto 01, BL B TORRE 03 ;93.629,95;158.000,00;40.75;Não;Apartamento, 88.87 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712727292
8,78771E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 02, TR 03, BL D ;94.815,14;160.000,00;40.75;Não;Apartamento, 88.74 de área total, 43.06 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713984175
8,78771E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 02, TR 05 BL A ;97.778,11;165.000,00;40.75;Não;Apartamento, 88.74 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714281216
8,78771E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 02, TORRE 06 BL B ;103.704,06;175.000,00;40.75;Não;Apartamento, 43.06 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714938061
8,78772E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 04, TORRE 03, BL B ;106.667,03;180.000,00;40.75;Não;Apartamento, 88.74 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, WC Emp, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715199840
8,78772E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 12, BL A, T 01 ;101.654,35;171.541,14;40.75;Não;Apartamento, 88.74 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715937158
8,78772E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 04, TR 06 BL B ;103.704,06;175.000,00;40.75;Não;Apartamento, 88.74 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715997720
8,78772E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 21, BL B, TORRE 01 - 2º PAVIMENTO ;93.629,95;158.000,00;40.75;Não;Apartamento, 88.74 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716243486
8,78772E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 01, TORRE 1 BL B ;97.778,11;165.000,00;40.75;Não;Apartamento, 88.73 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716902595
8,78772E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 12, TORRE 04 BL A ;98.963,30;167.000,00;40.75;Não;Apartamento, 88.74 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718428530
8,78772E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 34, TORRE 7 BL A ;98.963,30;167.000,00;40.75;Não;Apartamento, 88.74 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718878527
8,78772E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 34, 3º PAV, TORRE 6, BL D ;101.654,35;171.541,14;40.75;Não;Apartamento, 88.74 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787719092659
8,78772E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 23, BL B, T 7 ;101.654,35;171.541,14;40.75;Não;Apartamento, 88.74 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787720504469
8,78772E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 34, TORRE 03 BL C ;107.852,22;182.000,00;40.75;Não;Apartamento, 88.74 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787721912714
8,78772E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 32, TORRE 04 BL A ;103.704,06;175.000,00;40.75;Não;Apartamento, 88.74 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787722230129
8,78772E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 21, BL C TORRE 03 ;97.778,11;165.000,00;40.75;Não;Apartamento, 88.73 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787722250383
8,78772E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 14, 1º PAV, TORRE 7, BLOCO A ;100.741,08;170.000,00;40.75;Não;Apartamento, 88.75 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787723057854
8,44442E+12;SP ;JABOTICABAL ;MORADA DO CAMPO ;RUA PROFESSOR PAULO AFFONSO BELLINGIERI (RUA 06), N. 61, LT 36 QD 11 ;124.509,18;206.000,00;39.56;Não;Casa, 59.23 de área total, 59.23 de área privativa, 200.00 de área do terreno,  2 qto(s), 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418884715
8,78772E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 13, TORRE 01 BL B ;113.025,32;187.000,00;39.56;Não;Apartamento, 88.74 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715167913
8,78772E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 04, TR 02, BL C ;114.838,57;190.000,00;39.56;Não;Apartamento, 80.07 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716431053
8,78772E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 13, BL B TORRE 02 ;113.025,32;187.000,00;39.56;Não;Apartamento, 88.74 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716498255
8,78772E+12;SP ;JABOTICABAL ;ATHENAS PAULISTA ;RUA PROFESSORA LUZIA MARQUES, N. 101, Apto 04, BL C TORRE 7 TÉRREO ;113.025,32;187.000,00;39.56;Não;Apartamento, 88.74 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716908615
